    51/299    0.856G   0.02912   0.02022         0   0.04934        13       640    0.8571     0.915     0.929     0.501     0.025   0.01188         0
    52/299    0.856G   0.02795   0.01946         0   0.04742         7       640    0.8645      0.91    0.9318    0.4912   0.02592   0.01185         0
    53/299    0.856G   0.03001   0.02095         0   0.05096         3       640    0.8813    0.9097    0.9219    0.5092    0.0251   0.01158         0
    54/299    0.856G   0.02892   0.01968         0   0.04859         5       640    0.8839     0.895    0.9276    0.4959   0.02511   0.01175         0
    55/299    0.856G   0.02879   0.01955         0   0.04835         5       640    0.9002    0.9025    0.9283    0.5123    0.0254   0.01172         0
    56/299    0.856G   0.02837   0.01939         0   0.04776         1       640    0.8803      0.92    0.9224    0.5084   0.02572    0.0121         0
    57/299    0.856G   0.02863   0.01967         0    0.0483         2       640    0.7672    0.8898    0.8045    0.4389   0.02474   0.01283         0
    58/299    0.856G   0.02909   0.01993         0   0.04901         3       640    0.8943      0.89    0.9355    0.5125   0.02466   0.01179         0
    59/299    0.856G   0.02828    0.0199         0   0.04818         5       640    0.8646    0.9125    0.9311    0.5109     0.025   0.01159         0
    60/299    0.856G   0.02799   0.01905         0   0.04703         4       640    0.8819    0.9175    0.9374    0.5213    0.0248   0.01146         0
    61/299    0.856G   0.02851   0.02009         0   0.04859         4       640    0.8686    0.8924    0.9279    0.5216   0.02447   0.01151         0
    62/299    0.856G   0.02936   0.02002         0   0.04937         6       640     0.878     0.905    0.9403     0.522   0.02462   0.01171         0
    63/299    0.856G   0.02844   0.01981         0   0.04825         6       640    0.8599    0.8925    0.9116    0.4996    0.0249    0.0123         0
    64/299    0.856G   0.02947   0.01963         0    0.0491         4       640     0.882    0.8973    0.9263    0.5158   0.02478   0.01173         0
    65/299    0.856G   0.02694   0.01906         0     0.046         3       640    0.8691      0.93    0.9392    0.5093   0.02474   0.01149         0
    66/299    0.856G   0.02778   0.01935         0   0.04713         3       640    0.9022    0.8998    0.9281    0.5091   0.02526   0.01215         0
    67/299    0.856G   0.02697   0.01953         0    0.0465         3       640    0.9017    0.9173    0.9334    0.5172   0.02452   0.01154         0
    68/299    0.856G   0.02739   0.01922         0   0.04661         3       640    0.8295    0.9125    0.9116    0.5159   0.02406   0.01196         0
    69/299    0.856G   0.02694   0.01928         0   0.04622         3       640      0.87     0.905    0.9263    0.4907   0.02611   0.01232         0
    70/299    0.856G   0.02896   0.02023         0   0.04919         3       640    0.8755     0.915    0.9359    0.5155    0.0247   0.01172         0
    71/299    0.856G   0.02684   0.01812         0   0.04496         2       640    0.8738    0.9173    0.9442    0.5228   0.02478   0.01145         0
    72/299    0.856G   0.02805   0.01947         0   0.04752         2       640    0.8729    0.9275    0.9346    0.5236   0.02458   0.01166         0
    73/299    0.856G   0.02793   0.01985         0   0.04778         4       640    0.8593    0.8725    0.9096     0.481   0.02585   0.01324         0
    74/299    0.856G   0.02787   0.01925         0   0.04712         9       640    0.8822     0.905    0.9355    0.5212   0.02406   0.01162         0
    75/299    0.856G   0.02742   0.01931         0   0.04673         4       640    0.8108    0.9125    0.8502    0.4789   0.02391   0.01169         0
    76/299    0.856G   0.02747   0.01914         0   0.04661         7       640    0.8412      0.89    0.8858    0.4873   0.02467   0.01184         0
